Slice,Count,Total Area,Average Size,%Area,Pot number
r_55_02_20250220.jpg,4,1448,362.000,0.579,12
r_55_02_20250220.jpg,3,1561,520.333,0.624,13
r_55_02_20250220.jpg,1,764,764.000,0.306,14
r_55_02_20250220.jpg,3,22644,7548.000,9.058,15
r_55_02_20250220.jpg,2,554,277.000,0.222,16
r_55_02_20250220.jpg,5,1600,320.000,0.640,17
r_55_02_20250220.jpg,0,0,NaN,0.000,18
r_55_02_20250220.jpg,0,0,NaN,0.000,19
r_55_02_20250220.jpg,5,8140,1628.000,3.256,20
r_55_02_20250220.jpg,3,993,331.000,0.397,21
r_55_02_20250220.jpg,1,332,332.000,0.133,22
r_55_02_20250220.jpg,2,434,217.000,0.174,23
r_55_02_20250220.jpg,0,0,NaN,0.000,24
r_55_02_20250220.jpg,2,166,83.000,0.066,25
r_55_02_20250220.jpg,0,0,NaN,0.000,26
r_55_02_20250220.jpg,0,0,NaN,0.000,27
r_55_02_20250220.jpg,3,12280,4093.333,4.912,28
r_55_02_20250220.jpg,1,5256,5256.000,2.102,29
r_55_02_20250220.jpg,1,354,354.000,0.142,30
r_55_02_20250220.jpg,0,0,NaN,0.000,31
r_55_02_20250220.jpg,3,1552,517.333,0.621,32
r_55_02_20250220.jpg,5,17456,3491.200,6.982,33
r_55_02_20250220.jpg,2,1272,636.000,0.509,34
r_55_02_20250220.jpg,1,26253,26253.000,10.501,35
r_55_02_20250220.jpg,8,4052,506.500,1.621,36
r_55_02_20250220.jpg,0,0,NaN,0.000,37
r_55_02_20250220.jpg,0,0,NaN,0.000,38
r_55_02_20250220.jpg,1,328,328.000,0.131,39
r_55_02_20250220.jpg,7,6500,928.571,2.600,40
r_55_02_20250305.jpg,5,16397,3279.400,6.559,1
r_55_02_20250305.jpg,2,11705,5852.500,4.682,2
r_55_02_20250305.jpg,1,1466,1466.000,0.586,3
r_55_02_20250305.jpg,0,0,NaN,0.000,4
r_55_02_20250305.jpg,0,0,NaN,0.000,5
r_55_02_20250305.jpg,1,246,246.000,0.098,6
r_55_02_20250305.jpg,0,0,NaN,0.000,7
r_55_02_20250305.jpg,0,0,NaN,0.000,8
r_55_02_20250305.jpg,1,221,221.000,0.088,9
r_55_02_20250305.jpg,0,0,NaN,0.000,10
r_55_02_20250305.jpg,1,227,227.000,0.091,11
r_55_02_20250305.jpg,0,0,NaN,0.000,12
r_55_02_20250305.jpg,1,448,448.000,0.179,13
r_55_02_20250305.jpg,0,0,NaN,0.000,14
r_55_02_20250305.jpg,2,28400,14200.000,11.360,15
r_55_02_20250305.jpg,1,802,802.000,0.321,16
r_55_02_20250305.jpg,0,0,NaN,0.000,17
r_55_02_20250305.jpg,2,637,318.500,0.255,18
r_55_02_20250305.jpg,0,0,NaN,0.000,19
r_55_02_20250305.jpg,4,3265,816.250,1.306,20
r_55_02_20250305.jpg,1,431,431.000,0.172,21
r_55_02_20250305.jpg,0,0,NaN,0.000,22
r_55_02_20250305.jpg,0,0,NaN,0.000,23
r_55_02_20250305.jpg,0,0,NaN,0.000,24
r_55_02_20250305.jpg,0,0,NaN,0.000,25
r_55_02_20250305.jpg,0,0,NaN,0.000,26
r_55_02_20250305.jpg,0,0,NaN,0.000,27
r_55_02_20250305.jpg,5,6229,1245.800,2.492,28
r_55_02_20250305.jpg,2,7780,3890.000,3.112,29
r_55_02_20250305.jpg,3,648,216.000,0.259,30
r_55_02_20250305.jpg,2,994,497.000,0.398,31
r_55_02_20250305.jpg,1,240,240.000,0.096,32
r_55_02_20250305.jpg,5,11244,2248.800,4.498,33
r_55_02_20250305.jpg,3,1340,446.667,0.536,34
r_55_02_20250305.jpg,1,28480,28480.000,11.392,35
r_55_02_20250305.jpg,2,477,238.500,0.191,36
